"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"133",2005-09-12 20:15:00,2005-09-12,0.16,7,0.16,0.105,0.105,0.085,0.065,0.013,0.001,FALSE
"134",2005-09-13 19:30:00,2005-09-13,0.17,3.75,0.273,0.153,0.113,0.073,0.06,0.012,0.001,FALSE
"135",2005-09-14 13:30:00,2005-09-14,0.09,0.5,0.588,0.324,0.236,0.186,0.09,0.004,0.001,FALSE
"136",2005-09-14 20:30:00,2005-09-14,0.03,0.5,0.21,0.12,0.09,0.06,0.03,0.001,0,FALSE
"137",2005-09-15 07:00:00,2005-09-15,1.3,19.5,0.247,0.247,0.247,0.241,0.236,0.108,0.026,FALSE
"138",2005-09-21 15:00:00,2005-09-21,2.05,12.5,0.422,0.422,0.422,0.413,0.383,0.175,0.072,FALSE
"139",2005-09-23 22:15:00,2005-09-23,0.12,2.5,0.24,0.14,0.107,0.083,0.072,0.008,0.001,FALSE
"140",2005-09-26 13:15:00,2005-09-26,1.61,13.5,1.221,0.988,0.988,0.794,0.694,0.138,0.11,FALSE
"141",2005-09-27 19:15:00,2005-09-27,1.29,8,0.306,0.253,0.253,0.24,0.227,0.108,0.026,FALSE
"142",2005-09-30 20:15:00,2005-09-30,0.19,4,0.16,0.1,0.08,0.08,0.053,0.015,0.001,FALSE
"143",2005-10-01 21:15:00,2005-10-01,0.13,3.75,0.248,0.128,0.088,0.06,0.05,0.009,0.001,FALSE
"144",2005-10-02 20:00:00,2005-10-02,0.94,9.5,0.232,0.196,0.196,0.193,0.171,0.077,0.015,FALSE
"145",2005-10-03 19:15:00,2005-10-03,0.63,5.75,0.186,0.173,0.173,0.162,0.16,0.052,0.008,FALSE
"146",2005-10-05 20:15:00,2005-10-05,0.23,4,0.173,0.113,0.093,0.077,0.074,0.018,0.001,FALSE
"147",2005-10-07 03:00:00,2005-10-07,207.14,39.25,24.811,24.811,24.811,22.256,17.536,41.488,923.362,TRUE
"148",2005-10-11 01:15:00,2005-10-11,0.59,6.75,0.8,0.8,0.8,0.654,0.39,0.052,0.034,FALSE
"149",2005-10-11 15:30:00,2005-10-11,0.02,3.75,0.096,0.06,0.048,0.026,0.015,0.001,0,FALSE
