,Date,PRECIP,DURATION,MAX_5,MAX_10,MAX_15,MAX_30,MAX_60,ENERGY,EI30
,MO/DA/YR,mm,hrs,mm/hr,mm/hr,mm/hr,mm/hr,mm/hr,MJ/ha,MJ*mm/ha*hr
,----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
11/13/2005 23:00,11/13/2005,0.18,2.25,0.24,0.18,0.16,0.127,0.115,0.014,0.002
11/14/2005 16:45,11/14/2005,1.11,10.5,2.368,2.368,2.368,1.258,0.703,0.109,0.138
11/16/2005 13:45,11/16/2005,19.45,8.5,11.342,11.342,11.342,8.914,7.63,3.008,26.812
11/21/2005 12:45,11/21/2005,27.6,22.5,5.695,5.695,5.695,5.062,3.94,3.28,16.605
11/22/2005 18:30,11/22/2005,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0
11/23/2005 18:15,11/23/2005,1.31,7.5,0.673,0.673,0.673,0.613,0.488,0.113,0.069
11/24/2005 13:15,11/24/2005,0.24,1.75,0.525,0.32,0.32,0.293,0.169,0.017,0.005
11/27/2005 19:15,11/27/2005,0.53,1,1.573,1.573,1.573,0.943,0.53,0.052,0.049
11/28/2005 4:30,11/28/2005,0.22,0.75,1.152,0.72,0.576,0.368,0.22,0.013,0.005
11/28/2005 22:15,11/28/2005,0.25,0,3,1.5,1,0.5,0.25,0,0
11/29/2005 11:45,11/29/2005,16.01,11.5,11.575,11.575,11.575,10.154,7.145,2.681,27.222
11/30/2005 18:00,11/30/2005,0.03,0.25,0.2,0.14,0.12,0.06,0.03,0.002,0
12/1/2005 19:30,12/1/2005,0.3,1.5,0.527,0.527,0.527,0.38,0.275,0.025,0.009
12/2/2005 8:45,12/2/2005,0.22,3.5,0.207,0.147,0.147,0.12,0.088,0.017,0.002
12/3/2005 22:30,12/3/2005,6.66,7.25,2.965,2.965,2.965,2.548,1.922,0.683,1.741
12/5/2005 13:00,12/5/2005,5.2,15.25,1.587,1.587,1.587,1.551,1.403,0.487,0.756
12/9/2005 0:30,12/9/2005,20.89,6.75,22.209,22.209,22.209,17.244,9.95,3.502,60.392
12/11/2005 18:15,12/11/2005,0.06,0.5,0.26,0.2,0.18,0.114,0.06,0.004,0
12/15/2005 9:00,12/15/2005,38.85,17.5,13.319,13.319,13.319,10.467,8.915,5.749,60.176
12/19/2005 6:15,12/19/2005,0.06,0.5,0.373,0.213,0.16,0.11,0.06,0.002,0
12/25/2005 8:15,12/25/2005,20.38,8.5,16.249,16.249,16.249,15.738,9.812,3.663,57.652
12/26/2005 3:30,12/26/2005,0.88,2.25,1.391,1.391,1.391,0.902,0.731,0.082,0.074
12/26/2005 13:15,12/26/2005,0.33,0.5,1.532,1.174,1.054,0.663,0.33,0.025,0.017
12/28/2005 20:45,12/28/2005,6.99,23.25,3.729,3.729,3.729,3.345,2.815,0.741,2.48
12/31/2005 6:15,12/31/2005,0.11,1.5,0.26,0.14,0.127,0.1,0.078,0.007,0.001
12/31/2005 13:45,12/31/2005,0.03,0.25,0.28,0.16,0.12,0.06,0.03,0.001,0
1/2/2006 9:45,1/2/2006,19.94,16.5,10.833,10.833,10.833,9.758,6.098,2.686,26.21
1/11/2006 4:30,1/11/2006,0.08,0.5,0.423,0.271,0.22,0.156,0.08,0.004,0.001
1/11/2006 14:30,1/11/2006,6.34,3,5.529,5.529,5.529,4.599,3.959,0.802,3.687
1/12/2006 2:30,1/12/2006,1.08,0.75,4.16,4.16,4.16,2.14,1.08,0.148,0.316
1/14/2006 2:30,1/14/2006,9.6,2,10.343,10.343,10.343,8.292,7.091,1.589,13.178
1/14/2006 19:30,1/14/2006,0.2,0.5,1.275,0.859,0.72,0.402,0.2,0.012,0.005
1/17/2006 10:30,1/17/2006,0.28,4.75,1.16,0.61,0.427,0.228,0.127,0.015,0.003
1/18/2006 1:45,1/18/2006,26.15,8.75,14.881,14.881,14.881,12.761,8.707,4.208,53.703
1/22/2006 21:00,1/22/2006,22.19,8.75,10.166,10.166,10.166,8.172,6.668,3.337,27.274
1/23/2006 12:30,1/23/2006,0.58,0.5,2.883,2.018,1.73,1.153,0.58,0.042,0.048
1/24/2006 21:00,1/24/2006,1.07,1.5,1.941,1.941,1.941,1.388,0.894,0.104,0.145
1/25/2006 7:45,1/25/2006,0.16,6.5,0.693,0.523,0.466,0.247,0.137,0.011,0.003
1/29/2006 10:30,1/29/2006,2.25,1.75,4.222,3.626,3.427,2.975,1.752,0.242,0.721
1/31/2006 6:15,1/31/2006,2.97,3,4.752,4.752,4.752,3.876,2.371,0.365,1.413
2/2/2006 21:30,2/2/2006,14.63,9.5,8.192,8.192,8.192,8.184,5.364,1.987,16.264
2/4/2006 11:00,2/4/2006,30.98,10.5,27.049,27.049,27.049,19.304,13.99,5.862,113.165
2/11/2006 0:45,2/11/2006,23.83,41.25,4.731,4.731,4.731,4.551,3.869,2.741,12.471
2/17/2006 7:15,2/17/2006,0.42,0.5,2.319,1.44,1.146,0.833,0.42,0.024,0.02
2/27/2006 21:45,2/27/2006,0.02,0.25,0.2,0.125,0.1,0.04,0.02,0.001,0
2/28/2006 4:00,2/28/2006,0.03,0.25,0.32,0.18,0.133,0.06,0.03,0.001,0
3/2/2006 4:30,3/2/2006,2.61,11.25,2.543,2.543,2.543,1.938,1.49,0.256,0.497
3/9/2006 0:00,3/9/2006,0.41,3.75,0.527,0.527,0.527,0.443,0.302,0.035,0.015
3/11/2006 20:45,3/11/2006,0.39,5.75,0.173,0.12,0.12,0.113,0.108,0.031,0.004
3/13/2006 20:00,3/13/2006,1.46,10.75,1.619,1.619,1.619,1.191,0.614,0.133,0.159
3/17/2006 2:00,3/17/2006,1.09,7.5,0.673,0.673,0.673,0.59,0.532,0.094,0.055
3/21/2006 20:30,3/21/2006,0.25,3.5,0.193,0.193,0.193,0.143,0.109,0.02,0.003
